OU,SousOU,Designation,,,,,,,,,,,,,,,,,,,,,,,,
Communication,,GRP_U_Direction_Communication,,,,,,,,,,,,,,,,,,,,,,,,
Communication,Publicite,GRP_U_Designer_Graphique,,,,,,,,,,,,,,,,,,,,,,,,
Communication,Publicite,GRP_U_Photographe,,,,,,,,,,,,,,,,,,,,,,,,
Communication,Publicite,GRP_U_Publicitaire,,,,,,,,,,,,,,,,,,,,,,,,
Communication,Publicite,GRP_U_Responsable_Publicite,,,,,,,,,,,,,,,,,,,,,,,,
Communication,Publicite,GRP_U_Webmaster,,,,,,,,,,,,,,,,,,,,,,,,
Communication,Relation_Publique_Presse,GRP_U_Charge_Communication,,,,,,,,,,,,,,,,,,,,,,,,
Communication,Relation_Publique_Presse,GRP_U_Charge_Presse,,,,,,,,,,,,,,,,,,,,,,,,
Communication,Relation_Publique_Presse,GRP_U_Charge_Droit_Communication,,,,,,,,,,,,,,,,,,,,,,,,
Communication,Relation_Publique_Presse,GRP_U_Responsable _Relation_Media,,,,,,,,,,,,,,,,,,,,,,,,
Direction_Financiere,Finance,GRP_U_DAF,,,,,,,,,,,,,,,,,,,,,,,,
Direction_Financiere,Finance,GRP_U_Analyste_Financier,,,,,,,,,,,,,,,,,,,,,,,,
Direction_Financiere,Service_Comptabilite,GRP_U_Comptable,,,,,,,,,,,,,,,,,,,,,,,,
Direction_Financiere,Controle_Gestion,GRP_U_Contrôleur_Gestion,,,,,,,,,,,,,,,,,,,,,,,,
Direction_Generale,,GRP_U_Assistant_Direction,,,,,,,,,,,,,,,,,,,,,,,,
Direction_Generale,,GRP_U_Secretaire,,,,,,,,,,,,,,,,,,,,,,,,
Direction_Generale,,GRP_U_Directeur_Adjoint,,,,,,,,,,,,,,,,,,,,,,,,
Direction_Generale,,GRP_U_CEO,,,,,,,,,,,,,,,,,,,,,,,,
Direction_Generale,,GRP_U_COMEX,,,,,,,,,,,,,,,,,,,,,,,,
Direction_Generale,,GRP_U_CODIR,,,,,,,,,,,,,,,,,,,,,,,,
Directtion_Marketing,Marketing_Digital,GRP_U_Community_Manager,,,,,,,,,,,,,,,,,,,,,,,,
Directtion_Marketing,Marketing_Digital,GRP_U_Responsable_Marketing_Digital,,,,,,,,,,,,,,,,,,,,,,,,
Directtion_Marketing,Marketing_Digital,GRP_U_Analyste_Web,,,,,,,,,,,,,,,,,,,,,,,,
Directtion_Marketing,Marketing_Digital,GRP_U_Content_Manager,,,,,,,,,,,,,,,,,,,,,,,,
Directtion_Marketing,Marketing_Operationnel,GRP_U_Charge_Promotion,,,,,,,,,,,,,,,,,,,,,,,,
Directtion_Marketing,Marketing_Operationnel,GRP_U_Chef_Projet,,,,,,,,,,,,,,,,,,,,,,,,
Directtion_Marketing,Marketing_Operationnel,GRP_U_Assistant_Marketing,,,,,,,,,,,,,,,,,,,,,,,,
Directtion_Marketing,Marketing_Operationnel,GRP_U_Coordinateur_Marketing,,,,,,,,,,,,,,,,,,,,,,,,
Directtion_Marketing,Marketing_Operationnel,GRP_U_Responsable_Marketing_Operationnel,,,,,,,,,,,,,,,,,,,,,,,,
Directtion_Marketing,Martketing_Produit,GRP_U_Chef_Produit,,,,,,,,,,,,,,,,,,,,,,,,
Directtion_Marketing,Martketing_Produit,GRP_U_Gestionaire_Marque,,,,,,,,,,,,,,,,,,,,,,,,
Directtion_Marketing,Martketing_Produit,GRP_U_Responsable_Gamme,,,,,,,,,,,,,,,,,,,,,,,,
Directtion_Marketing,Marketing_Strategique,GRP_U_Direction_Marketing_Strategique,,,,,,,,,,,,,,,,,,,,,,,,
Directtion_Marketing,Marketing_Strategique,GRP_U_Analyste_Marketing,,,,,,,,,,,,,,,,,,,,,,,,
Directtion_Marketing,Marketing_Strategique,GRP_U_Chef_Produit_Strategique,,,,,,,,,,,,,,,,,,,,,,,,
Recherche_Developpement,Inovation_Strategie,GRP_U_Chercheur,,,,,,,,,,,,,,,,,,,,,,,,
Recherche_Developpement,Inovation_Strategie,GRP_U_Responsable_Recherche,,,,,,,,,,,,,,,,,,,,,,,,
Recherche_Developpement,Laboratoire,GRP_U_Laborantin,,,,,,,,,,,,,,,,,,,,,,,,
Recherche_Developpement,Laboratoire,GRP_U_Responsable_Laboratoire,,,,,,,,,,,,,,,,,,,,,,,,
Ressources_Humaines,,GRP_U_Direction_RH,,,,,,,,,,,,,,,,,,,,,,,,
Ressources_Humaines,,GRP_U_Direction_Adjoint_RH,,,,,,,,,,,,,,,,,,,,,,,,
Ressources_Humaines,Formation,GRP_U_Formateur,,,,,,,,,,,,,,,,,,,,,,,,
Ressources_Humaines,Gestion_Performances,GRP_U_Agent_RH_GP,,,,,,,,,,,,,,,,,,,,,,,,
Ressources_Humaines,Recrutement,GRP_U_Agent_RH_REC,,,,,,,,,,,,,,,,,,,,,,,,
Ressources_Humaines,Sante_Securite_Travail,GRP_U_Animateur_securite,,,,,,,,,,,,,,,,,,,,,,,,
Ressources_Humaines,Sante_Securite_Travail,GRP_U_Auditeur,,,,,,,,,,,,,,,,,,,,,,,,
Ressources_Humaines,Sante_Securite_Travail,GRP_U_Technicien_HSE,,,,,,,,,,,,,,,,,,,,,,,,
Service_Generaux,Logisitique,GRP_U_Agent_logistique,,,,,,,,,,,,,,,,,,,,,,,,
Service_Generaux,Logisitique,GRP_U_Responsable_Logistique,,,,,,,,,,,,,,,,,,,,,,,,
Service_Generaux,Gestion_Immobiliere,GRP_U_Gestionnaire_immobilier,,,,,,,,,,,,,,,,,,,,,,,,
Systemes_Information,Data,GRP_U_Data_Scientist,,,,,,,,,,,,,,,,,,,,,,,,
Systemes_Information,Developpement_Logiciel,GRP_U_Developpeur,,,,,,,,,,,,,,,,,,,,,,,,
Systemes_Information,,GRP_U_Direction_Informatique,,,,,,,,,,,,,,,,,,,,,,,,
Systemes_Information,Systemes_Reseaux,GRP_U_Administrateur_Systemes_Reseaux,,,,,,,,,,,,,,,,,,,,,,,,
Service_Juridique,Contrats,GRP_U_Juriste_CTR,,,,,,,,,,,,,,,,,,,,,,,,
Service_Juridique,Contrats,GRP_U_Responsable_Juridique,,,,,,,,,,,,,,,,,,,,,,,,
Service_Juridique,Contentieux,GRP_U_Juriste_CTX,,,,,,,,,,,,,,,,,,,,,,,,
Ventes_Developpment_Commercial,ADV,GRP_U_Gestionnaire_ADV,,,,,,,,,,,,,,,,,,,,,,,,
Ventes_Developpment_Commercial,ADV,GRP_U_Responsable_ADV,,,,,,,,,,,,,,,,,,,,,,,,
Ventes_Developpment_Commercial,B2B,GRP_U_Commercial_B2B,,,,,,,,,,,,,,,,,,,,,,,,
Ventes_Developpment_Commercial,B2B,GRP_U_Responsable_B2B,,,,,,,,,,,,,,,,,,,,,,,,
Ventes_Developpment_Commercial,B2C,GRP_U_Commercial_B2C,,,,,,,,,,,,,,,,,,,,,,,,
Ventes_Developpment_Commercial,B2C,GRP_U_Responsable_B2C,,,,,,,,,,,,,,,,,,,,,,,,
Ventes_Developpment_Commercial,Developpement_Internationnal,GRP_U_Commercial_DI,,,,,,,,,,,,,,,,,,,,,,,,
Ventes_Developpment_Commercial,Developpement_Internationnal,GRP_U_Direction_Commercial_DI,,,,,,,,,,,,,,,,,,,,,,,,
Ventes_Developpment_Commercial,Grands_Comptes,GRP_U_Commercial_GC,,,,,,,,,,,,,,,,,,,,,,,,
Ventes_Developpment_Commercial,Grands_Comptes,GRP_U_Responsable_Grands_Comptes,,,,,,,,,,,,,,,,,,,,,,,,
Ventes_Developpment_Commercial,Service_Achat,GRP_U_Acheteur,,,,,,,,,,,,,,,,,,,,,,,,
Ventes_Developpment_Commercial,Service_Achat,GRP_U_Responsable_achat,,,,,,,,,,,,,,,,,,,,,,,,
Ventes_Developpment_Commercial,Services_Client,GRP_U_Agent_Client,,,,,,,,,,,,,,,,,,,,,,,,
Ventes_Developpment_Commercial,Services_Client,GRP_U_Responsable_Service_Client,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
